1	720545370
2	59479170
3	16933110
4	7826863
5	5443212
6	5665102
7	7736006
8	11236764
9	15833383
10	20936394
11	25490588
12	29067297
13	31040852
14	31514914
15	30181611
16	28224500
17	26048564
18	24268768
19	23388635
20	23543783
21	24768810
22	26757539
23	29328968
24	31883470
25	34166497
26	35757849
27	36559790
28	36339159
29	35069397
30	32976148
31	30177620
32	26992367
33	23620169
34	20310344
35	17133683
36	14207331
37	11619076
38	9421913
39	7614641
40	6106164
41	4897939
42	3994380
43	3340261
44	2838408
45	2474990
46	2193073
47	1999229
48	1829950
49	1705298
50	1622240
51	1561004
52	1526449
53	1474295
54	1421795
55	1379405
56	1337167
57	1285940
58	1238104
59	1194374
60	1143918
61	1097984
62	1059568
63	1005866
64	956354
65	903067
66	856280
67	803550
68	763805
69	721954
70	690474
71	657453
72	631438
73	607297
74	587087
75	567181
76	551291
77	534057
78	516945
79	506735
80	495913
81	484560
82	468727
83	460543
84	447642
85	437571
86	425500
87	419990
88	406701
89	394274
90	385027
91	377571
92	364872
93	358732
94	350783
95	342256
96	333923
97	326608
98	317659
99	312062
100	304178
101	298065
102	289280
103	284933
104	277814
105	272833
106	269874
107	264590
108	257546
109	254937
110	251720
111	246695
112	242921
113	239465
114	232486
115	229434
116	226180
117	222367
118	220118
119	218715
120	215527
121	211748
122	209506
123	204497
124	202464
125	199872
126	196755
127	192699
128	190813
129	187627
130	186300
131	183954
132	179540
133	178045
134	176982
135	174989
136	172022
137	168838
138	168268
139	167135
140	164165
141	162408
142	158342
143	158350
144	154927
145	152155
146	151170
147	148732
148	144864
149	145778
150	143084
151	143085
152	141466
153	139231
154	137877
155	138704
156	136476
157	136057
158	133602
159	132311
160	130961
161	130036
162	128128
163	128200
164	126637
165	125645
166	124004
167	123386
168	121251
169	120346
170	117774
171	116124
172	115908
173	114785
174	113383
175	110752
176	109065
177	108897
178	107751
179	107576
180	104469
181	103526
182	103256
183	102128
184	100804
185	100154
186	98348
187	96701
188	97427
189	96789
190	97317
191	96283
192	94222
193	93164
194	94049
195	91459
196	89872
197	90231
198	89088
199	88562
200	87753
201	87015
202	87471
203	86424
204	85699
205	84782
206	83926
207	83844
208	84820
209	83010
210	81745
211	81459
212	80781
213	79483
214	79198
215	78153
216	78092
217	77462
218	76367
219	75563
220	74386
221	75430
222	75293
223	73733
224	73409
225	72575
226	72096
227	71891
228	71384
229	70849
230	70999
231	69404
232	68992
233	68157
234	68790
235	67841
236	67078
237	66182
238	65335
239	64881
240	63431
241	64626
242	64112
243	63457
244	63265
245	62840
246	63159
247	62125
248	62518
249	61591
250	61118
251	60723
252	60838
253	61191
254	60845
255	59796
256	58993
257	58977
258	58261
259	58094
260	57297
261	58134
262	58001
263	57435
264	57103
265	56008
266	56147
267	57498
268	57018
269	55798
270	56004
271	55979
272	56009
273	54892
274	55330
275	54660
276	55204
277	54006
278	52780
279	52951
280	52566
281	53381
282	53007
283	52026
284	52446
285	51279
286	51037
287	50909
288	50645
289	50562
290	49600
291	50525
292	50443
293	50102
294	50050
295	49578
296	50222
297	50096
298	50168
299	49281
300	49939
301	49176
302	49373
303	48063
304	48056
305	47140
306	48292
307	46701
308	46909
309	46966
310	46876
311	46256
312	45639
313	45165
314	44996
315	45248
316	45023
317	44435
318	43338
319	43802
320	44309
321	44710
322	43286
323	42902
324	42610
325	42571
326	41950
327	41532
328	40878
329	40357
330	40144
331	39978
332	39509
333	39661
334	38770
335	39440
336	37941
337	37763
338	37676
339	36874
340	37012
341	36370
342	36320
343	35963
344	35295
345	35004
346	34426
347	34848
348	34240
349	33543
350	32760
351	32807
352	32265
353	32167
354	31221
355	30564
356	31166
357	30928
358	29831
359	29678
360	29567
361	28665
362	28885
363	29084
364	28550
365	28292
